Party,PersonalPageRankEast,PersonalPageRankWest,Amount of Nodes,PersonalPageRankEast/Amount of Nodes,PersonalPageRankWest/Amount of Nodes,PersonalPageRankEast/PersonalPageRankWest,PersonalPageRankEast/PersonalPageRankWest/Amount of Nodes,Year
CSU,1.0548236184703623e-17,0.07453416149068325,2,5.274118092351811e-18,0.03726708074534162,1.4152216881144024e-16,7.076108440572012e-17,1995
CDU,0.07609501766013942,0.22677492329769383,5,0.015219003532027884,0.045354984659538765,0.3355530521346372,0.06711061042692744,1995
FDP,0.2017604344587315,0.05220568022447375,2,0.10088021722936576,0.026102840112236875,3.864721876837978,1.932360938418989,1995
CSU,3.379968401531408e-18,0.05797101449275363,2,1.689984200765704e-18,0.028985507246376815,5.830445492641677e-17,2.9152227463208386e-17,1996
CDU,0.3459338194054964,0.2048981117965975,6,0.057655636567582734,0.034149685299432915,1.6883211678832117,0.28138686131386864,1996
FDP,3.379968401531408e-18,0.05797101449275363,2,1.689984200765704e-18,0.028985507246376815,5.830445492641677e-17,2.9152227463208386e-17,1996
CSU,0.05767518265808614,0.07760590254127299,6,0.009612530443014357,0.012934317090212165,0.7431803608934625,0.12386339348224375,1998
CDU,0.660366622069686,0.484039492027013,30,0.022012220735656198,0.01613464973423377,1.3642825284859867,0.04547608428286622,1998
SPD,0.06101446295266852,0.08454152806397691,7,0.008716351850381217,0.012077361151996702,0.7217099613635531,0.10310142305193616,1998
FDP,0.15877400799563557,0.18618481211788293,13,0.012213385230433506,0.014321908624452533,0.8527763687572314,0.06559818221209472,1998
CSU,-6.351474371290669e-17,0.15328724868805668,9,-7.057193745878522e-18,0.017031916520895186,-4.1435112350513093e-16,-4.6039013722792326e-17,1999
CDU,0.42092222804723123,0.4178785587596324,19,0.022153801476170066,0.021993608355770126,1.0072836215780805,0.05301492745147792,1999
FDP,0.03924036102124204,0.062020930250715416,4,0.00981009025531051,0.015505232562678854,0.6326954604294959,0.15817386510737397,1999
SPD,0.14544899438193884,0.04999038273107463,5,0.029089798876387768,0.009998076546214926,2.909539524119826,0.5819079048239651,1999
